profile,actor,DPS,increase,
single_target,spiritbound_voodoo_burl_335,11269,5.07%,
single_target,lustrous_golden_plumage_335,11266,5.04%,
single_target,landois_scrutiny_350,11260,4.98%,
single_target,construct_overcharger_345,11260,4.98%,
single_target,tiny_electromental_in_a_jar_385,11259,4.97%,
single_target,kul_tiran_cannonball_runner_385,11258,4.97%,
single_target,xalzaixs_veiled_eye_380,11258,4.96%,
single_target,frenetic_corpuscle_380,11257,4.96%,
single_target,mchimbas_ritual_bandages_385,11254,4.92%,
single_target,spiritbound_voodoo_burl_330,11249,4.88%,
single_target,lustrous_golden_plumage_330,11244,4.84%,
single_target,construct_overcharger_340,11239,4.79%,
single_target,landois_scrutiny_345,11239,4.79%,
single_target,kul_tiran_cannonball_runner_380,11234,4.74%,
single_target,frenetic_corpuscle_375,11233,4.73%,
single_target,tiny_electromental_in_a_jar_380,11233,4.73%,
single_target,xalzaixs_veiled_eye_375,11231,4.72%,
single_target,mchimbas_ritual_bandages_380,11230,4.70%,
single_target,spiritbound_voodoo_burl_325,11230,4.70%,
single_target,lustrous_golden_plumage_325,11223,4.64%,
single_target,construct_overcharger_335,11221,4.62%,
single_target,landois_scrutiny_340,11219,4.60%,
single_target,xalzaixs_veiled_eye_370,11212,4.54%,
single_target,kul_tiran_cannonball_runner_375,11211,4.53%,
single_target,frenetic_corpuscle_370,11211,4.53%,
single_target,spiritbound_voodoo_burl_320,11211,4.53%,
single_target,tiny_electromental_in_a_jar_375,11210,4.52%,
single_target,mchimbas_ritual_bandages_375,11207,4.49%,
single_target,lustrous_golden_plumage_320,11204,4.46%,
single_target,construct_overcharger_330,11201,4.43%,
single_target,landois_scrutiny_335,11200,4.43%,
single_target,spiritbound_voodoo_burl_315,11192,4.35%,
single_target,lustrous_golden_plumage_315,11187,4.30%,
single_target,kul_tiran_cannonball_runner_370,11187,4.30%,
single_target,tiny_electromental_in_a_jar_370,11186,4.29%,
single_target,frenetic_corpuscle_365,11185,4.29%,
single_target,xalzaixs_veiled_eye_365,11185,4.28%,
single_target,mchimbas_ritual_bandages_370,11182,4.26%,
single_target,construct_overcharger_325,11182,4.25%,
single_target,landois_scrutiny_330,11179,4.23%,
single_target,spiritbound_voodoo_burl_310,11173,4.18%,
single_target,frenetic_corpuscle_360,11168,4.13%,
single_target,kul_tiran_cannonball_runner_365,11168,4.12%,
single_target,lustrous_golden_plumage_310,11167,4.11%,
single_target,tiny_electromental_in_a_jar_365,11166,4.10%,
single_target,xalzaixs_veiled_eye_360,11165,4.10%,
single_target,landois_scrutiny_325,11165,4.10%,
single_target,construct_overcharger_320,11164,4.09%,
single_target,mchimbas_ritual_bandages_365,11164,4.09%,
single_target,construct_overcharger_315,11147,3.93%,
single_target,tiny_electromental_in_a_jar_360,11146,3.92%,
single_target,kul_tiran_cannonball_runner_360,11145,3.91%,
single_target,landois_scrutiny_320,11145,3.91%,
single_target,mchimbas_ritual_bandages_360,11143,3.89%,
single_target,construct_overcharger_310,11129,3.77%,
single_target,kul_tiran_cannonball_runner_355,11129,3.76%,
single_target,xalzaixs_veiled_eye_355,11128,3.76%,
single_target,tiny_electromental_in_a_jar_355,11127,3.75%,
single_target,landois_scrutiny_315,11127,3.74%,
single_target,frenetic_corpuscle_355,11127,3.74%,
